country,unpeacefulness,eco_footprint,education,nominal_GDP,inequality,life_expectancy,happiness,cluster
Peru,-0.07179363331477187,-0.4110831161685308,0.12423676352280734,-0.18349791652179956,0.6970151090796977,0.503731358225928,0.31544654402875005,3
Bosnia and Herzegovina,-0.06526844878824412,0.004265209083375712,0.28914782733243183,-0.26355863130360074,-0.6415458438545105,0.5939064572765752,0.2902998328964348,3
Tunisia,-0.030467464646763996,-0.3814153786505375,-0.04636088869404493,-0.2553077104856199,-0.6688634143225559,0.49871409707574066,-0.8431648874008807,3
Jamaica,-0.0239422801202372,-0.6039234100354873,0.12992335193003576,-0.2662388767192606,-0.36837013917405975,0.19713602145372217,0.75225422999378,3
Dominican Republic,-0.017417095593709433,-0.7819298351434472,-0.13734630320969982,-0.23696793025957805,0.8199441761859013,0.14370897028687304,0.04069544091641801,3
Bolivia,-0.01089191106718167,-0.0748487576312732,0.1128635867083511,-0.2569491892434768,0.6150623976755633,-0.20451607386660786,0.19995794475441414,3
Haiti,0.006508581003558389,-1.2368351437526781,-1.331529868727669,-0.2641660490283787,0.46481576010131515,-1.223155689007165,-1.7568287252083308,1
Paraguay,0.013033765530086153,0.5185059927285932,-0.20558536409644096,-0.25756641035309624,1.1614138070364648,0.16716805620531264,0.14128228544567825,3
Cambodia,0.03695944212735301,-0.9401577685727449,-1.0244540947373342,-0.2710421431561908,0.027734632612593603,-0.43368286694269326,-0.6252267242541495,1
Morocco,0.04565968816272304,-0.707760491348464,-0.7856173816337402,-0.22264204792303063,0.24627519635695438,0.49613766567429474,-0.5432670731562335,3
Mozambique,0.10873647191915647,-1.1082749478413736,-1.6044861122746334,-0.26585615257504935,2.2267990552902224,-1.6498940900784296,-0.6587556724305701,1
Kyrgyzstan,0.12178684097221104,-0.5940341641961562,0.38581983025531513,-0.27174524191702154,-1.365461461257705,-0.1927187300810358,0.22603601555829614,3
Gabon,0.13701227153410883,-0.5396433120798351,-0.22264512931812624,-0.264891499506648,0.041393417846616334,-0.8887620134298744,-0.6047368114796703,1
Belarus,0.1435374560606366,0.9783559242574894,0.9715384361998427,-0.24628036158819405,-1.7069310921082683,0.16348366008052398,0.030450484529178392,0
Georgia,0.15876288662253343,-0.7572067205451194,1.0113445550504419,-0.2650667840276136,-0.17714714589774444,0.10113005133664112,-0.5684137842885487,3
Guinea,0.1652880711490612,-0.8412653101794338,-1.8660691790071409,-0.2655067599392991,-0.5459343472163524,-1.548464053853039,-0.4817973348327966,1
Bangladesh,0.17181325567558894,-1.1824442916363571,-0.9050357381855372,-0.13258658622764663,-0.7234985552586459,-0.058337492247663617,-0.44361158829853986,3
Uzbekistan,0.25446559301160376,-0.39130462448986864,0.28914782733243183,-0.2463787875720025,-0.12251200496165449,-0.17576852349256805,0.6311774726900405,3
