country,tradition_secularism,survival_self-expression,unpeacefulness,eco_footprint,education,nominal_GDP,inequality,life_expectancy,religion_christian,religion_muslim,religion_unaffiliated,religion_hinduism,religion_buddhism,religion_folk,religions_other,religion_judaism,happiness,cluster
Denmark,1.4695202225629542,1.9386593448022154,-1.4081742362533134,0.9304567330826692,1.2262122410699026,-0.19848593238976237,-1.0720322851478776,0.8970867091871548,-0.4364331300311944,-0.38674380194555635,-0.15517468927591582,-0.11192593339907195,-0.17273180926749862,-0.1338202179026007,-0.17921334799280242,-0.18186133541044094,1.8169450571318484,1
Dominican Republic,-0.7555180542149521,0.39052300857350625,0.07142912792589302,-1.0151116753595524,-0.5580512294196119,-0.2975053487206538,1.042184518508032,-0.23663438577851997,-0.3267889452893995,-0.3924989180459367,-0.14950444359307338,-0.11206882973075856,-0.17291350172106434,-0.1311591354862126,-0.17763527541646468,-0.18186133541044094,-0.22973922249817177,0
Egypt,-1.319328658285372,-0.40365082624511717,1.0510285966238506,-0.7120331795720708,-0.8092652198495438,-0.19859489230277247,-0.6773784817987745,-0.5695180630036029,-0.45003861280937335,1.5766460285664083,-0.16368005780017944,-0.11206882973075856,-0.17291350172106434,-0.1338202179026007,-0.17921334799280242,-0.18186133541044094,-1.4745178060611042,0
El Salvador,-1.7723907508419592,0.5915796756161958,0.5224530499722445,-0.7511400822543265,-0.9638584447295018,-0.31743953256919505,0.32335080526502274,-0.3582618986431616,-0.4142908737451385,-0.3924989180459367,-0.15477909073990354,-0.11206882973075856,-0.17291350172106434,-0.13303754660366304,-0.1744791302637892,-0.18186133541044094,0.2792193742676549,0
Estonia,1.580268734076787,-1.1375076609509338,-0.5693921911806872,1.5903857158457346,0.8977016381999917,-0.31474003460603894,-0.832421047400208,0.4664746808163026,-0.545543766428747,-0.3924989180459367,-0.1531966965958545,-0.11206882973075856,-0.17291350172106434,-0.1338202179026007,-0.17921334799280242,-0.18186133541044094,0.4054726695894105,1
Ethiopia,-0.3527961941646523,-0.3031224927237724,0.8734761929223462,-1.2644181799589327,-2.593528690339058,-0.29645604541636994,-0.18406122761239563,-1.4280745772431367,0.8291435425115674,0.3409586560803086,-0.16308665999616107,-0.11206882973075856,-0.17291350172106434,-0.0672931574928981,-0.17921334799280242,-0.18186133541044094,-1.4824086370187137,0
Finland,1.1272066415201996,1.1846968433921297,-1.057151093303212,1.1064377951528201,1.1295914755199288,-0.23093213133789503,-1.2552644081313897,0.9898876783311003,-0.4452366777111925,-0.3916036777636553,-0.1502956406650979,-0.11206882973075856,-0.17291350172106434,-0.1338202179026007,-0.17921334799280242,-0.18186133541044094,2.035915616205518,1
France,0.9359137579963072,1.194749676744264,-0.23265487381576466,0.7495873081772365,0.7109014914700423,0.6215379913926505,-0.6632837031077349,1.116081464823907,0.4954090531880018,-0.27215304581353966,0.06807475121367088,-0.11183066917794753,-0.16292041677495064,-0.1270892447317367,-0.14922996904238534,0.1750466979366962,0.8996359583097193,1
Georgia,0.26135464241205497,-1.2581416611765475,0.23673653826867327,-0.9906698611831426,0.7431084133200336,-0.3206048502787998,0.013265674062155678,-0.2866226567726271,-0.45724151545664454,-0.380605011438484,-0.16335039235350257,-0.11206882973075856,-0.17291350172106434,-0.1338202179026007,-0.17921334799280242,-0.18186133541044094,-0.874814653282766,0
Ghana,-1.6515741928268692,-0.23275265925883107,-0.4285747675553559,-0.800023710607146,-1.1055689008694627,-0.3020233167112954,1.0139949611259529,-1.8297319266639305,-0.07281993343005942,-0.2938945955260875,-0.1502956406650979,-0.11206882973075856,-0.17291350172106434,-0.09640852981337972,-0.16816683995843823,-0.18186133541044094,-0.6805029409516267,0
Greece,1.0768664090139122,0.6116853423204648,-0.14898075253114715,0.3780717326958073,0.6980187227300458,-0.2581305242981822,-0.2686298997586322,1.0143498584820123,-0.2929086254300127,-0.37702405030935854,-0.15451535838256203,-0.11192593339907195,-0.17291350172106434,-0.13366368364281317,-0.17921334799280242,-0.18186133541044094,-0.054168233691355656,1
Guatemala,-1.4099410767966893,-0.11211865903321742,0.5265347144251522,-0.8391306132894019,-1.3889898131493859,-0.2995030545813749,1.6905443382958434,-0.20145155810432377,-0.1947357300894275,-0.3924989180459367,-0.15596588634794034,-0.11206882973075856,-0.17291350172106434,-0.13147220400578769,-0.17763527541646468,-0.18186133541044094,0.6481157215359088,0
Hungary,0.7043486884673847,-1.1676661610073371,-0.9510278175275999,-0.3356292412553595,0.5498668822200861,-0.26802266598643254,-0.8042314900181288,0.07236177838491026,-0.3441292664772746,-0.3924989180459367,-0.13921888165675456,-0.11206882973075856,-0.17291350172106434,-0.1338202179026007,-0.17921334799280242,-0.17601038404409444,0.21116095725827116,1
